"filename", "language", "Python", "C++", "Markdown", "JSON", "Arduino", "comment", "blank", "total"
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-19\details.md", "Markdown", 0, 0, 27, 0, 0, 0, 6, 33
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-19\diff-details.md", "Markdown", 0, 0, 9, 0, 0, 0, 6, 15
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-19\diff.md", "Markdown", 0, 0, 12, 0, 0, 0, 7, 19
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-19\results.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-19\results.md", "Markdown", 0, 0, 21, 0, 0, 0, 7, 28
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-25\details.md", "Markdown", 0, 0, 11, 0, 0, 0, 6, 17
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-25\diff-details.md", "Markdown", 0, 0, 29, 0, 0, 0, 6, 35
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-25\diff.md", "Markdown", 0, 0, 25, 0, 0, 0, 7, 32
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-25\results.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-25\results.md", "Markdown", 0, 0, 14, 0, 0, 0, 7, 21
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-37\details.md", "Markdown", 0, 0, 27, 0, 0, 0, 6, 33
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-37\diff-details.md", "Markdown", 0, 0, 29, 0, 0, 0, 6, 35
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-37\diff.md", "Markdown", 0, 0, 24, 0, 0, 0, 7, 31
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-37\results.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-37\results.md", "Markdown", 0, 0, 21, 0, 0, 0, 7, 28
"d:\Desktop\ProfilometerProject\Code\Firmware\main\.VSCodeCounter\2024-11-27_22-10-14\details.md", "Markdown", 0, 0, 22, 0, 0, 0, 6, 28
"d:\Desktop\ProfilometerProject\Code\Firmware\main\.VSCodeCounter\2024-11-27_22-10-14\diff-details.md", "Markdown", 0, 0, 9, 0, 0, 0, 6, 15
"d:\Desktop\ProfilometerProject\Code\Firmware\main\.VSCodeCounter\2024-11-27_22-10-14\diff.md", "Markdown", 0, 0, 12, 0, 0, 0, 7, 19
"d:\Desktop\ProfilometerProject\Code\Firmware\main\.VSCodeCounter\2024-11-27_22-10-14\results.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"d:\Desktop\ProfilometerProject\Code\Firmware\main\.VSCodeCounter\2024-11-27_22-10-14\results.md", "Markdown", 0, 0, 15, 0, 0, 0, 7, 22
"d:\Desktop\ProfilometerProject\Code\Firmware\main\encoderOutput.cpp", "C++", 0, 27, 0, 0, 0, 11, 8, 46
"d:\Desktop\ProfilometerProject\Code\Firmware\main\encoderOutput.hpp", "C++", 0, 11, 0, 0, 0, 0, 4, 15
"d:\Desktop\ProfilometerProject\Code\Firmware\main\endStopOutput.cpp", "C++", 0, 11, 0, 0, 0, 6, 7, 24
"d:\Desktop\ProfilometerProject\Code\Firmware\main\endStopOutput.hpp", "C++", 0, 8, 0, 0, 0, 0, 5, 13
"d:\Desktop\ProfilometerProject\Code\Firmware\main\laserOutput.cpp", "C++", 0, 12, 0, 0, 0, 6, 5, 23
"d:\Desktop\ProfilometerProject\Code\Firmware\main\laserOutput.hpp", "C++", 0, 9, 0, 0, 0, 0, 4, 13
"d:\Desktop\ProfilometerProject\Code\Firmware\main\main.ino", "Arduino", 0, 0, 0, 0, 35, 10, 6, 51
"d:\Desktop\ProfilometerProject\Code\Firmware\main\statusIndicators.cpp", "C++", 0, 46, 0, 0, 0, 15, 9, 70
"d:\Desktop\ProfilometerProject\Code\Firmware\main\statusIndicators.hpp", "C++", 0, 12, 0, 0, 0, 0, 6, 18
"d:\Desktop\ProfilometerProject\Code\Firmware\main\stepperMotorControl.cpp", "C++", 0, 22, 0, 0, 0, 16, 12, 50
"d:\Desktop\ProfilometerProject\Code\Firmware\main\stepperMotorControl.hpp", "C++", 0, 12, 0, 0, 0, 0, 4, 16
"d:\Desktop\ProfilometerProject\Code\Firmware\main\utilityFunctions.cpp", "C++", 0, 51, 0, 0, 0, 17, 18, 86
"d:\Desktop\ProfilometerProject\Code\Firmware\main\utilityFunctions.hpp", "C++", 0, 16, 0, 0, 0, 0, 4, 20
"d:\Desktop\ProfilometerProject\Code\Software\gui.py", "Python", 21, 0, 0, 0, 0, 20, 16, 57
"d:\Desktop\ProfilometerProject\Code\Software\utilityFunctions.py", "Python", 27, 0, 0, 0, 0, 24, 11, 62
"Total", "-", 48, 237, 307, 4, 35, 125, 223, 979