"filename", "language", "Markdown", "JSON", "comment", "blank", "total"
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-19\details.md", "Markdown", -27, 0, 0, -6, -33
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-19\diff-details.md", "Markdown", -9, 0, 0, -6, -15
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-19\diff.md", "Markdown", -12, 0, 0, -7, -19
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-19\results.json", "JSON", 0, -1, 0, 0, -1
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-19\results.md", "Markdown", -21, 0, 0, -7, -28
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-25\details.md", "Markdown", -11, 0, 0, -6, -17
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-25\diff-details.md", "Markdown", -29, 0, 0, -6, -35
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-25\diff.md", "Markdown", -25, 0, 0, -7, -32
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-25\results.json", "JSON", 0, -1, 0, 0, -1
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-25\results.md", "Markdown", -14, 0, 0, -7, -21
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-37\details.md", "Markdown", -27, 0, 0, -6, -33
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-37\diff-details.md", "Markdown", -29, 0, 0, -6, -35
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-37\diff.md", "Markdown", -24, 0, 0, -7, -31
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-37\results.json", "JSON", 0, -1, 0, 0, -1
"d:\Desktop\ProfilometerProject\Code\.VSCodeCounter\2024-11-29_19-42-37\results.md", "Markdown", -21, 0, 0, -7, -28
"Total", "-", -249, -3, 0, -78, -330